area,title,link,employer_name,employer_link,employer_img,respond_link,salary
Новосибирск,Бармен,https://nn.hh.ru/vacancy/73886229,BEERMAN&GRILL,https://nn.hh.ru/employer/4925151,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73886229&hhtmFrom=vacancy_search_list,22 000 – 45 000 руб.
Новосибирск,Охранник на частную территорию,https://nn.hh.ru/vacancy/73977619,ООО МобиСтаф,https://nn.hh.ru/employer/4215585,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73977619&hhtmFrom=vacancy_search_list,30 000 – 40 000 руб.
Новосибирск,Инженер технической поддержки,https://nn.hh.ru/vacancy/73226615,ООО Веста,https://nn.hh.ru/employer/1058405,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73226615&hhtmFrom=vacancy_search_list,50 000 – 50 000 руб.
Новосибирск,Личный помощник руководителя,https://nn.hh.ru/vacancy/73439820,JobHelp,https://nn.hh.ru/employer/1894985,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73439820&hhtmFrom=vacancy_search_list,60 000 – 70 000 руб.
Новосибирск,Сборщик корпусной мебели,https://nn.hh.ru/vacancy/73553889,ООО Монолит мебель,https://nn.hh.ru/employer/3036098,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73553889&hhtmFrom=vacancy_search_list,50 000 – 120 000 руб.
Новосибирск,Специалист по связям с общественностью,https://nn.hh.ru/vacancy/73977028,Муниципальное казенное учреждение города Новосибирска Новосибирский центр по проблемам домашних животных,https://nn.hh.ru/employer/4591537,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73977028&hhtmFrom=vacancy_search_list,31 806 – 35 079 руб.
Новосибирск,Начинающий специалист банка,https://nn.hh.ru/vacancy/73391940,ПАО Совкомбанк,https://nn.hh.ru/employer/7944,https://img.hhcdn.ru/employer-logo/4249909.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73391940&hhtmFrom=vacancy_search_list,от 30 000 руб.
Новосибирск,Мастер производственного участка,https://nn.hh.ru/vacancy/74035625,ООО СОЛАР,https://nn.hh.ru/employer/5215545,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74035625&hhtmFrom=vacancy_search_list,60 000 – 70 000 руб.
Новосибирск,Специалист по санитарии и гигиене,https://nn.hh.ru/vacancy/74234112,ООО «Сибирская продовольственная компания»,https://nn.hh.ru/employer/50233,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74234112&hhtmFrom=vacancy_search_list,от 55 000 руб.
Новосибирск,Водитель-экспедитор,https://nn.hh.ru/vacancy/74394135,ООО ТК Логист Транс Сервис,https://nn.hh.ru/employer/2947605,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74394135&hhtmFrom=vacancy_search_list,от 100 000 руб.
Новосибирск,Автомеханик,https://nn.hh.ru/vacancy/74936419,Установочный центр Вебасто (Молодцев Петр),https://nn.hh.ru/employer/6015978,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74936419&hhtmFrom=vacancy_search_list,50 000 – 100 000 руб.
Новосибирск,Инженер по охране труда и технике безопасности,https://nn.hh.ru/vacancy/74983094,Алабуга. Проектный менеджмент,https://nn.hh.ru/employer/68587,https://img.hhcdn.ru/employer-logo/2367389.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74983094&hhtmFrom=vacancy_search_list,60 000 – 120 000 руб.
Новосибирск,"Продавец-кассир в ювелирный бутик TOUS (ТРЦ ""Галерея Новосибирск"")",https://nn.hh.ru/vacancy/72013426,ООО Рашэл Групп,https://nn.hh.ru/employer/5512109,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=72013426&hhtmFrom=vacancy_search_list,
