area,title,link,employer_name,employer_link,employer_img,respond_link,salary
Казань,Бухгалтер,https://nn.hh.ru/vacancy/72696056,ООО Аир-Газ,https://nn.hh.ru/employer/914308,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=72696056&hhtmFrom=vacancy_search_list,45 000 – 45 000 руб.
Казань,Официант,https://nn.hh.ru/vacancy/73077746,ООО УК Мингер Спа,https://nn.hh.ru/employer/9170751,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73077746&hhtmFrom=vacancy_search_list,от 40 000 руб.
Казань,Мастер,https://nn.hh.ru/vacancy/73491613,МУП города Казани Водоканал,https://nn.hh.ru/employer/628924,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73491613&hhtmFrom=vacancy_search_list,от 47 000 руб.
Казань,Рентгенлаборант,https://nn.hh.ru/vacancy/74095797,Камский детский медицинский центр,https://nn.hh.ru/employer/1567773,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74095797&hhtmFrom=vacancy_search_list,от 40 000 руб.
Казань,Администратор интернет-магазина/Товаровед (Гвардейская 38),https://nn.hh.ru/vacancy/74177334,Самокат (ООО Умный ритейл),https://nn.hh.ru/employer/2460946,https://img.hhcdn.ru/employer-logo/4036476.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74177334&hhtmFrom=vacancy_search_list,от 41 379 руб.
Казань,Представитель Тинькофф,https://nn.hh.ru/vacancy/74420260,Тинькофф,https://nn.hh.ru/employer/78638,https://img.hhcdn.ru/employer-logo/3452962.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74420260&hhtmFrom=vacancy_search_list,от 69 000 руб.
Казань,Руководитель отдела контента,https://nn.hh.ru/vacancy/74851852,BULANTI,https://nn.hh.ru/employer/3822191,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74851852&hhtmFrom=vacancy_search_list,60 000 – 100 000 руб.
Казань,"Торговый представитель (Пестречинский р-н, Лаишевский р-н)",https://nn.hh.ru/vacancy/70395533,ООО АПК Камский,https://nn.hh.ru/employer/2149964,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=70395533&hhtmFrom=vacancy_search_list,от 50 000 руб.
Казань,Сборщик заказов без опыта,https://nn.hh.ru/vacancy/71023039,"Тануки, японский ресторан",https://nn.hh.ru/employer/21371,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=71023039&hhtmFrom=vacancy_search_list,от 35 000 руб.
Казань,"Фасовщик/Маркировщик товара (Казань, Татарстан 7)",https://nn.hh.ru/vacancy/72878339,Планета здоровья,https://nn.hh.ru/employer/791787,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=72878339&hhtmFrom=vacancy_search_list,
Казань,Начинающий специалист (ученик) Самолет+,https://nn.hh.ru/vacancy/72896344,Оператор недвижимости ПЕРСПЕКТИВА 24,https://nn.hh.ru/employer/1710189,https://img.hhcdn.ru/employer-logo/2331217.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=72896344&hhtmFrom=vacancy_search_list,от 60 000 руб.
Казань,Помощник юриста в отдел исполнительного производства,https://nn.hh.ru/vacancy/73065155,Human Capital,https://nn.hh.ru/employer/23596,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73065155&hhtmFrom=vacancy_search_list,до 30 000 руб.
