area,title,link,employer_name,employer_link,employer_img,respond_link,salary
Москва,Продавец-консультант,https://nn.hh.ru/vacancy/39044267,Кенгуру,https://nn.hh.ru/employer/2146,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=39044267&hhtmFrom=vacancy_search_list,от 70 000 руб.
Москва,Сотрудник службы зала в учебный театр ВГИК,https://nn.hh.ru/vacancy/73670099,ООО АРТЕСС,https://nn.hh.ru/employer/3792876,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73670099&hhtmFrom=vacancy_search_list,5 000 – 10 000 руб.
Москва,Кальянный мастер,https://nn.hh.ru/vacancy/74056190,HeavyHaze,https://nn.hh.ru/employer/5383858,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74056190&hhtmFrom=vacancy_search_list,65 000 – 90 000 руб.
Москва,Администратор Лофта,https://nn.hh.ru/vacancy/74222729,Студия Люис,https://nn.hh.ru/employer/768418,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74222729&hhtmFrom=vacancy_search_list,40 000 – 46 000 руб.
Москва,Геймдизайнер (MMORPG),https://nn.hh.ru/vacancy/74620750,ООО Онмун компани,https://nn.hh.ru/employer/2609725,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74620750&hhtmFrom=vacancy_search_list,70 000 – 170 000 руб.
Москва,Региональный менеджер по территории России,https://nn.hh.ru/vacancy/74692107,Инсаф Зинаида,https://nn.hh.ru/employer/9262532,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74692107&hhtmFrom=vacancy_search_list,120 000 – 300 000 руб.
Москва,Администратор,https://nn.hh.ru/vacancy/74705573,Танец Лидера,https://nn.hh.ru/employer/9452819,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74705573&hhtmFrom=vacancy_search_list,64 000 – 64 000 руб.
Москва,Няня-помощница/Помощник,https://nn.hh.ru/vacancy/74796034,Постоянова Мария Владимировна,https://nn.hh.ru/employer/2581479,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74796034&hhtmFrom=vacancy_search_list,100 000 – 100 000 руб.
Москва,Тонировщик,https://nn.hh.ru/vacancy/75082719,MagickTon,https://nn.hh.ru/employer/5740234,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75082719&hhtmFrom=vacancy_search_list,от 50 000 руб.
Москва,Junior-middle analyst,https://nn.hh.ru/vacancy/73059776,Finstar Financial Group,https://nn.hh.ru/employer/180028,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73059776&hhtmFrom=vacancy_search_list,от 2 000 USD
Москва,Администратор салона красоты,https://nn.hh.ru/vacancy/74202212,МОЙ ПАРИКМАХЕР,https://nn.hh.ru/employer/1224762,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74202212&hhtmFrom=vacancy_search_list,60 000 – 75 000 руб.
Москва,Менеджер по работе с иностранными студентами (со знанием английского языка),https://nn.hh.ru/vacancy/74393186,Современные программы обучения,https://nn.hh.ru/employer/205798,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74393186&hhtmFrom=vacancy_search_list,55 000 – 65 000 руб.
Москва,Няня к грудничку на вахту,https://nn.hh.ru/vacancy/74721116,Кулакова Анна Олеговна,https://nn.hh.ru/employer/5863951,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74721116&hhtmFrom=vacancy_search_list,120 000 – 120 000 руб.
Москва,Хостес,https://nn.hh.ru/vacancy/74944788,Stockfree,https://nn.hh.ru/employer/2605649,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74944788&hhtmFrom=vacancy_search_list,80 000 – 120 000 руб.
Москва,"Менеджер по продажам Люкс сегмент (Zilli, D&G, Prada)",https://nn.hh.ru/vacancy/71978736,LS.NET.RU,https://nn.hh.ru/employer/4663884,https://img.hhcdn.ru/employer-logo/3624444.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=71978736&hhtmFrom=vacancy_search_list,150 000 – 250 000 руб.
Москва,Руководитель строительства,https://nn.hh.ru/vacancy/73244989,Institute of Directors Moscow,https://nn.hh.ru/employer/565708,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73244989&hhtmFrom=vacancy_search_list,400 000 – 500 000 руб.
Москва,"Инспектор службы, сотрудник охраны посольства",https://nn.hh.ru/vacancy/75079174,Полк полиции по охране дипломатических представительств и консульств иностранных государств ГУ МВД России по г. Москве,https://nn.hh.ru/employer/3769832,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75079174&hhtmFrom=vacancy_search_list,45 000 – 65 000 руб.
Москва,Менеджер отдела продаж через Инстаграм,https://nn.hh.ru/vacancy/39990282,ИП Астанков Владимир Валентинович,https://nn.hh.ru/employer/4762001,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=39990282&hhtmFrom=vacancy_search_list,от 70 000 руб.
Москва,Тренер по фитнесу в Дубае,https://nn.hh.ru/vacancy/73951553,RESHAPE,https://nn.hh.ru/employer/3722002,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73951553&hhtmFrom=vacancy_search_list,от 1 000 USD
Москва,Начинающий специалист (сфера образования),https://nn.hh.ru/vacancy/66111515,СИНЕРГИЯ,https://nn.hh.ru/employer/127256,https://img.hhcdn.ru/employer-logo/2964901.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=66111515&hhtmFrom=vacancy_search_list,до 50 000 руб.
Москва,Бухгалтер на первичную документацию,https://nn.hh.ru/vacancy/74228129,ИП Одинченко Максим Алексеевич,https://nn.hh.ru/employer/2345359,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74228129&hhtmFrom=vacancy_search_list,60 000 – 80 000 руб.
Москва,Повар в п. Грибово,https://nn.hh.ru/vacancy/74350363,Агентство MEDES,https://nn.hh.ru/employer/4676975,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74350363&hhtmFrom=vacancy_search_list,от 160 000 руб.
Москва,Официант,https://nn.hh.ru/vacancy/74252118,Ресторан Kaif,https://nn.hh.ru/employer/4962906,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74252118&hhtmFrom=vacancy_search_list,от 100 000 руб.
Москва,"Хостес в ресторан ""Steak it Easy""",https://nn.hh.ru/vacancy/67603700,Чайхона №1 Братьев Васильчуков,https://nn.hh.ru/employer/766102,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=67603700&hhtmFrom=vacancy_search_list,55 000 – 75 000 руб.
Москва,Сборщик комплектовщик заказов ЛЕНТА,https://nn.hh.ru/vacancy/68721747,ООО Союз Регионы,https://nn.hh.ru/employer/4942226,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=68721747&hhtmFrom=vacancy_search_list,65 000 – 95 000 руб.
