area,title,link,employer_name,employer_link,employer_img,respond_link,salary
Санкт-Петербург,Водитель-курьер на служебном автомобиле Ford Transit,https://nn.hh.ru/vacancy/75122109,LogFix,https://nn.hh.ru/employer/4764586,https://img.hhcdn.ru/employer-logo/3789824.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75122109&hhtmFrom=vacancy_search_list,100 000 – 140 000 руб.
Санкт-Петербург,Водитель-экспедитор г. Санкт-Петербург,https://nn.hh.ru/vacancy/68135477,ООО Эльбрус,https://nn.hh.ru/employer/3856380,https://img.hhcdn.ru/employer-logo/5776829.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=68135477&hhtmFrom=vacancy_search_list,74 500 – 80 500 руб.
Санкт-Петербург,Менеджер по продажам,https://nn.hh.ru/vacancy/75073539,ООО АНСЭ,https://nn.hh.ru/employer/2196773,https://img.hhcdn.ru/employer-logo/3849376.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75073539&hhtmFrom=vacancy_search_list,от 75 000 руб.
Санкт-Петербург,Сборщик заказов,https://nn.hh.ru/vacancy/72379019,ИП Сапожников Павел Андреевич,https://nn.hh.ru/employer/6110720,https://img.hhcdn.ru/employer-logo/4245989.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=72379019&hhtmFrom=vacancy_search_list,60 000 – 69 000 руб.
Санкт-Петербург,Сборщик заказов(вечернее время),https://nn.hh.ru/vacancy/71027153,СберМаркет,https://nn.hh.ru/employer/1272486,https://img.hhcdn.ru/employer-logo/3899104.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=71027153&hhtmFrom=vacancy_search_list,до 90 000 руб.
Санкт-Петербург,Продавец-консультант (менеджер по продажам),https://nn.hh.ru/vacancy/75069866,КРЕСЛО В СПБ.РФ,https://nn.hh.ru/employer/3563333,https://img.hhcdn.ru/employer-logo/5673341.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75069866&hhtmFrom=vacancy_search_list,50 000 – 200 000 руб.
Санкт-Петербург,Водитель-курьер на автомобиле компании в Яндекс Маркет,https://nn.hh.ru/vacancy/75002872,Афонин Александр Сергеевич,https://nn.hh.ru/employer/9219808,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75002872&hhtmFrom=vacancy_search_list,100 000 – 140 000 руб.
Санкт-Петербург,Менеджер по международным продажам со знанием английского,https://nn.hh.ru/vacancy/75211548,AceX,https://nn.hh.ru/employer/9460004,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75211548&hhtmFrom=vacancy_search_list,100 000 – 350 000 руб.
Санкт-Петербург,"Водитель курьер на автомобиле компании ""Делимобиль""",https://nn.hh.ru/vacancy/54652794,Делимобиль,https://nn.hh.ru/employer/3233751,https://img.hhcdn.ru/employer-logo/3982684.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=54652794&hhtmFrom=vacancy_search_list,
Санкт-Петербург,Продавец-консультант,https://nn.hh.ru/vacancy/75173260,ИП Ершов Сергей Евгеньевич,https://nn.hh.ru/employer/1971720,https://img.hhcdn.ru/employer-logo/4044256.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75173260&hhtmFrom=vacancy_search_list,45 000 – 70 000 руб.
