Безрассудное счастье , 2002
Безрассудный поступок , 2013
Белье на веревке , 2016
Белый танец , 2001
Безумные мечты , 2009
Белый город , 2018
Амур-проказник , 1999
Чтобы не потерять тебя , 2004
Мятежная душа , 1994
Вторая попытка любви , 1999
Безрассудство любви , 1999
Близкая и далекая , 1996
Girls Night Out , 2013
Белые розы Аризоны , 1999
Близко к сердцу , 1997
Богини с дурной репутацией. Книга для плохих девочек , 2004
Больше не друзья... , 
Билет в неизвестность , 2001
Ближе к сердцу , 
Блики любви. Сборник исторических любовных романов , 2018
Больше никаких секретов , 2002
Блондинка и бродяга , 2007
Бог LTD. часть 1 , 
Больше ни слова лжи , 2016
Бойкая девчонка , 
Береги свою любовь , 2006
Богатство Кинга , 2009
Бесцеремонный незнакомец , 1997
Бесконечная истина , 1999
Большая буква «Л» , 2008
Больше никаких мужчин! , 2011
Богиня чувственных наслаждений , 2017
Бесценный опыт , 2001
Бизнес прежде всего , 2013
Берег нежности , 2011
Бес попутал , 2000
Божественное чувство , 2013
Богиня из офиса , 2005
Бессмертие души , 2000
Благоразумная секретарша , 2010
Беспечный ангел , 2012
Бесстыжая , 2002
Бессердечный , 2014
Блаженная несвобода , 2009
Богатство или счастье? , 2005
Божественный огонь , 2014
Богатый покровитель , 2008
Бесценный приз , 2015
Блюз «Джесс» , 2010
Богиня моря , 2005
Бизнес для двоих , 2003
Близкие и любимые , 2007
Благослови мою любовь , 2006
Благословение вершин , 2005
Благоразумные желания , 1997
Битва за женщину , 2012
Бесценное наследство , 2013
Блэкмурскии дьявол , 2000
Благословение вечной любви , 2016
Бизнес-план для аспирантки , 2008
Блеск любимых глаз , 1997
Блестящая идея , 2001
Биология , 2006
Близкий враг , 2005
Беспроигрышное пари , 
Беседа вечером у гардероба (сборник) , 
Бесстрашная , 2013
Бермудский треугольник , 2000
Беру тебя в мужья , 2010
Берегитесь — женщина! , 2002
Берегись, наследница! , 2007
Борьба за счастье , 2011
Боюсь потерять , 2002
Брак не по расчету , 1996
Большой секрет Мэтти , 2008
Брачное объявление , 2000
Брачное уравнение , 2016
Большое сердце маленькой мышки , 2007
Брачные узы , 2013
Больше, чем он ожидал , 2014
Босиком к счастью , 2008
Брак поневоле , 2019
Босс для танцовщицы - 1 часть (СИ) , 
Бывших плейбоев не бывает , 2016
Брачная ночь перед разводом , 2017
Брачная сделка , 2016
Бывший муж , 2009
Большой секс в маленьком городе , 2008
Бразильская история , 2002
Брак поневоле , 2017
Брак по умолчанию , 2010
Больше чем страсть , 2006
Брачная ночь перед разводом , 2017
Брак по-сицилийски , 2009
Брак в кредит , 2005
Брат и сестра , 2015
Брак не по расчету , 1996
Брат лучшей подруги , 2015
Букетик нарциссов , 2014
Быть желанной всегда , 2003
Брачный капкан для повесы , 2018
Босс в подарочной упаковке , 2016
Брак не по любви , 2009
Больше чем друзья , 2005
Бухта счастья , 2002
Брак по принуждению , 1995
Было ли счастье? , 2013
Была бы только любовь… , 2001
Будь счастлив в любви , 1997
Будь со мной всегда , 2010
Быстрый танец , 2003
Бриллиант твоей души , 2015
Бутик для Золушки , 2005
Брак с целью дознания , 2001
Брак – выдумка мужчин , 2007
Братья. Один ближе другого , 
Босс и беременный торс , 
Будь со мной рядом! , 2010
Будь моей , 2004
Боюсь поверить , 1998
Бурное плавание , 
Брак по рецепту , 
Будь моей навсегда , 2001
Бриз надежды , 2009
Букет гардений , 2008
Будь что будет , 2012
Браслет для Золушки , 
Брак по расчету , 2005
В акварельных оттенках любви , 
Брачная ночь длиною в жизнь , 2001
Будь моим Валентином (СИ) , 2019
Букет невесты , 
Букет новобрачной , 2014
Бриллиант в пыли , 2009
В безотчетном порыве , 2009
Быть с тобой , 
Будь всегда рядом! Или моя любимая младшая сестрёнка (СИ) , 2012
В богатстве и в бедности… , 2013
Бухта незнакомца , 2009
Бунтарка , 1999
Быть может... , 2000
В вихре желания , 1999
В голубых канадских водах , 2001
В добровольном плену соблазна , 2017
Бюро добрых услуг , 2002
Брось вызов судьбе , 2003
Будет что вспомнить (СИ) , 
В дельте реки Сакраменто , 2003
В главной роли — любовь , 2009
В западне , 2017
Бухта влюбленных , 2002
Будущее в наших руках , 2000
Бриллиантовое кольцо , 1998
В зеркалах любви , 2001
Брызги шампанского , 2011
Брачная лотерея , 2002
Быстро и просто , 2008
Будь моей женой , 1997
Брошенный вызов , 2014
Бывшая жена , 2016
Былая любовь , 2007
Будет жарко до утра , 2018
Будь счастлива Джулия , 2010
Борьба без проигравших , 1999
Будь моим спасением (СИ) , 
Будь счастливой , 2004
Будь со мной , 2012
Бухгалтерия чувств , 1998
Букетик флердоранжа , 2010
Буду с тобой самым нежным! [СИ] , 
В двух шагах от счастья , 2005
Будем вместе , 1995
Бухта Аполлона , 2011
В двух шагах от любви , 1996
В двух шагах от рая , 2013
Будущая жизнь , 
Буйство страсти , 2001
Букет фиалок , 2011
Бросить вызов своему счастью , 2016
Брачный контракт с сюрпризом , 2016
Будь моей , 2007
Бриллианты из морозилки , 2005
Брак на неделю , 2009
Босиком по осколкам , 2020
Бриллиант для любимой , 2009
Бриллиант для самой желанной , 2017
В неге жарких ощущений , 2019
В мерцании рубина , 2009
В конце бывает начало (СИ) , 2015
В кровавой обертке , 
В объятиях любимого , 2008
В лавине тропической страсти , 2017
В объятиях тирана , 
В огне соблазна , 2003
В мечтах всё возможно , 2004
В зеркале любви , 2007
В объятиях любви , 
В новой роли , 2005
В объятиях ночи , 2005
В огнях Бродвея , 2007
В объятиях нежного искусителя , 2019
В кольце твоих рук , 
В огне страсти , 1998
В ожидании поцелуя , 2013
В любовном треугольнике , 2013
В кольце его рук , 
В капкане искушений с шотландцем , 2019
В объективе любви , 
В объятиях прошлого , 2009
В любовной западне , 2012
В любви все средства хороши , 2000
В кровавой обертке (ЛП) , 
В неге объятий , 2016
В объятиях мстительного мачо , 2017
В зеркале твоих глаз , 2005
В медовой ловушке , 2007
В погоне за Памелой , 
В роли невесты , 2008
В плену запретной страсти , 2016
В сетях жаркой мести , 2019
В первый раз... , 
В разные стороны? , 2004
В постели с врагом , 2003
В шоколадном дворце , 2009
В первый раз , 2014
В погоне за судьбой , 2007
В постели с врагом , 2007
В поисках тебя , 2007
В плену сомнений , 
В постели с незнакомцем , 2013
В серебряных каплях дождя , 2011
В поисках прошлого , 2001
В поисках любви , 2001
В погоне за звездой , 
В плену страсти , 2001
В ритме смелых желаний , 2019
В поисках сокровища , 2003
В погоне за мечтой , 
В поисках счастья , 2004
В полете фантазий , 2000
В сетях обмана , 2014
В сетях страсти , 
В плену у гордости , 2004
В твоих объятиях , 2004
В стране любви , 2013
В паутине греха , 1998
В сетях жгучего влечения , 2019
В ожидании признания , 
В плену обмана , 2010
В плену удовольствий шейха , 2019
В поисках нежности , 2007
В этот раз – навсегда , 2003
В омуте запретных чувств , 2019
В омуте колдовских глаз , 2017
В роли возлюбленного , 2005
В хижине миллионера , 2009
В погоне за любовью , 2007
В сердце Австралии , 
В ожидании чуда , 2011
В ожидании чуда , 
В ореоле невинности , 1997
В плену его чар , 1997
В плену у любимого: Любовь исцеляет раны, которые не под силу излечить времени , 2004
В поисках жены , 2005
В сетях соблазна , 2008
В ожидании рассвета , 2007
В оковах любви , 2014
В плену страстей , 2011
В сладостном уединении , 1996
В твоей власти , 2015
В твоем октябре , 2018
В плену сомнений , 2007
В шатре бедуина , 2012
В плену иллюзий , 2004
В сетях искушения , 2019
В памяти храня , 2009
В эпицентре любви , 2010
В поисках эльфа , 2008
В этот раз – навсегда , 2007
Важна только любовь , 
В ожидании принца , 2002
В плену соблазна , 2018
