Ахметов Ринат – украинский бизнесмен,
Баллмер Стивен – исполнительный директор корпорации «Microsoft»,
Астрология, автомобиль, водитель и безопасность вождения,2006
Астрід Ліндгрен. Малий і Карлсон, що живе на даху,
Афоризмы Британии. Том I,2006
Балансиры и безнасадочные мормышки,2005
Афоризмы и шутки,
Астрід Ліндгрен. Нові пригоди Карлсона, що живе на даху,
Dictionnaire amoureux de la France,2011
Астральный полет души на уроке физики,
Библиография,2001
Беспилотная авиация: терминология, классификация, современное состояние,2014
Боб Итон,
Библия автомобилиста,2005
Бизнес-планирование,2008
Беларускія пісьменнікі: 1917-1990,1994
Белорусско-русский словарь,
Безопасность дома своими руками,2013
Берхауз Фредерик Скиннер,
Боевая машина: Руководство по самозащите,1997
Боевая Машина: Руководство По Самозащите — 3,1997
Богл Джек – управленец инвестиционной сферы, основатель взаимных фондов,
Библиография,
Билл Гейтс,
Биопатогенные зоны – угроза заболевания,1993
Биография Борисоглебских улиц,1997
Боб Тиллман,
Боевая машина: Руководство по самозащите – 2,1997
Боец и отделение на походе,1941
Большая книга стервы. Полное пособие по стервологии,2007
Большая книга узлов. Рыбацкие, охотничьи, морские, туристские, альпинистские, бытовые,2014
Боевыя предпрiятiя соцiалистовъ-революцiонеровъ въ освѣщенiи охранки,1918
Больных. Тень познания,
Большая книга тостов,2000
Большая книга афоризмов,2007
Большой справочник симптомов,2014
Боевые корабли японского флота 10.1918-8.1945 гг. Подводные лодки,1999
Большой универсальный семейный сонник 10 в 1. 15 000 толкований снов,2013
Большой психологический словарь,2008
Большой справочник по массажу,2013
Большой психологический словарь,
Борьба с диверсантами,1941
Брин Сергей – президент компании Google,
Борьба с вертолетами,1984
В гостях,2008
В мире мечты (Обзор научно-фантастический литературы),1970
В защиту права (Статьи и речи),
Бразильская герилья (Краткий учебник городского партизана),
В начале было слово. Афоризмы,2005
В мире фантастики. Обзор научно-фантастической и фантастической литературы.,
Брэнсон Ричард – владелец Virgin,
Ваше имя и судьба,2015
Веблен Торстейн,
Вексельберг Виктор – российский предприниматель,
Великая криминальная революция в России; Мафия у власти,
Азбука хороших манер для настоящей леди,2013
